,Unnamed: 0,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
1169,1169,"Practical Hands-on  Microsoft SQL  Joins :  SQL Server ,SSMS",1252,7,1,11.2022,1,1,1,89.9,1,2,21,1.85,Bluelime Learning Solutions,746000.0,437,4.1,0,0.0,0.0,0.0,0,0,0,4.7
1170,1170,Association Rule : Unsupervised Machine Learning in Python,1017,7,1,9.2022,1,1,1,105.9,1,2,17,0.7666666666666667,Karthik K,39759.0,13,4.3,0,0.0,0.0,0.0,1,0,0,4.5
1171,1171,Learn Object Detection with OpenCV and TensorFlow,33,7,1,8.2019,1,1,1,349.9,1,7,10,1.4166666666666667,Nasr Ullah,3844.0,6,3.6,0,0.0,0.0,0.0,1,0,0,3.1
1172,1172,Web Scraping: Scrape Data to Google Sheets with Sheets Genie,1116,7,1,11.2022,1,1,1,69.9,1,3,19,1.5166666666666666,David Fonvielle,10593.0,6,3.8,0,0.0,0.0,0.0,0,0,0,5.0
1173,1173,Regression Analysis : Supervised Machine Learning in Python,1111,7,1,7.2022,1,1,1,105.9,1,2,23,0.95,Karthik K,39759.0,13,4.3,0,0.0,0.0,0.0,1,0,0,3.9
1174,1174,Machine Learning & Deep Learning Projects for Beginners 2023,195,8,1,11.2022,1,1,1,699.9,1,24,110,18.766666666666666,Vijay Gadhave,60030.0,9,4.5,0,0.0,0.0,0.0,0,0,0,4.7
1175,1175,Deep Learning with Apache Spark Solutions,91,7,1,1.2019,1,1,1,349.9,1,2,59,3.3166666666666664,Packt Publishing,408556.0,1058,3.9,0,0.0,0.0,0.0,1,0,0,3.8
1176,1176,"Practical Web Scraping Course in Python, Scrapy and Selenium",132,8,1,7.2022,1,1,1,179.9,1,5,28,0.8666666666666667,Mykhailo Kushnir,132.0,1,4.5,0,0.0,0.0,0.0,1,1,0,4.5
1177,1177,Applied Machine Learning with BigQuery on Google's Cloud,65,7,1,7.2021,1,1,1,69.9,1,6,48,2.4333333333333336,Mike West,238476.0,50,4.3,0,0.0,0.0,0.0,0,0,0,4.3
1178,1178,Cluster Analysis : Unsupervised Machine Learning in Python,1011,7,1,8.2022,1,1,1,105.9,1,2,19,0.7666666666666667,Karthik K,39759.0,13,4.3,0,0.0,0.0,0.0,1,0,0,4.2
1179,1179,Language Detection with fastText,2741,7,1,10.2018,1,1,1,69.9,1,4,21,1.3333333333333333,Evergreen Technologies,15041.0,55,3.5,0,0.0,0.0,0.0,0,0,0,4.3
1180,1180,Learning Path: R: Real-World Data Mining With R,130,7,1,4.2017,1,1,1,349.9,1,3,78,7.016666666666667,Packt Publishing,408556.0,1058,3.9,0,0.0,0.0,0.0,0,0,0,3.2
1181,1181,Master Google Cloud | A Step-by-Step Guide for 2022,1388,7,1,6.2022,1,1,1,69.9,1,12,119,7.95,R Tutor,28969.0,57,3.8,0,0.0,0.0,0.0,0,0,1,2.7
1182,1182,Introduction to GIS and Remote Sensing with R,277,8,1,9.2021,1,1,1,69.9,1,4,31,0.75,Andrés Salazar,3710.0,9,4.6,0,0.0,0.0,0.0,1,0,0,4.2
1183,1183,Azure Data Engineering,55,7,1,10.2021,1,1,1,179.9,1,6,38,11.366666666666667,Maruti Makwana,129597.0,15,4.2,0,0.0,0.0,0.0,0,0,0,4.4
1184,1184,Linear Algebra for Machine Learning,1773,7,1,9.2022,1,1,1,139.9,1,1,13,1.0166666666666666,Krunal Patel,2125.0,3,3.7,0,0.0,0.0,0.0,0,0,0,3.1
1185,1185,"Build Next-Level Apps w/ TensorFlow, Python & Sketch",111,7,2,7.2018,1,1,1,349.9,1,28,165,21.433333333333334,Mammoth Interactive,381289.0,275,4.3,1,519351.0,304.0,4.3,0,0,0,4.6
