,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
76,Pengenalan Manajemen Data dan Informasi,https://www.udemy.com/course/pengenalan-manajemen-data-dan-informasi/,107,2,3,null,Indonesian,1,0,0,0,3,14,1h 6m,Taman Belajar,"5,915",70,4.6,Bina Nusantara University,"212,471",312,4.4,1,0,0,4.2
77,Pengenalan Big Data dan Aplikasinya,https://www.udemy.com/course/pengenalan-big-data-dan-aplikasinya/,167,2,3,null,Indonesian,1,0,0,0,4,12,58m total,Taman Belajar,"5,915",70,4.6,Bina Nusantara University,"212,471",312,4.4,1,0,0,4.6
78,Data Science - Data Science et Machine Learning pour TOUS,https://www.udemy.com/course/data-science-data-science-et-machine-learning-pour-tous/,302,2,2,2.2023,French,1,1,349.9,1,6,31,1h 58m,AI Sciences,"44,913",21,4.3,AI Sciences Team,"25,011",21,4.3,0,0,0,4.2
79,[생활코딩] 파이썬 텐서플로우(TensorFlow) 기초,https://www.udemy.com/course/tensorflow-a/,54,2,1,null,Korean,1,0,0,0,7,19,1h 49m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,5
80,[Python 6hr] [Part 3] 파이썬 입문 6시간 완성 - [1억 연봉 데이터분석가],https://www.udemy.com/course/python-6hr-part-3-6-1/,132,1,1,null,Korean,1,0,0,0,1,5,39m total,메타코드 M,374,12,4.8,null,null,null,null,0,0,0,5
81,인공지능 최신 동향과 정책 이슈,https://www.udemy.com/course/dosanacademy_kyungjeonlee/,22,1,1,null,Korean,1,0,0,0,1,5,56m total,도산아카데미 사단법인,184,18,4.7,null,null,null,null,0,0,0,5
82,[Python 6hr] [Part 4] 파이썬 입문 6시간 완성 - [1억 연봉 데이터분석가],https://www.udemy.com/course/python-6hr-part-4-6-1/,101,1,1,null,Korean,1,0,0,0,1,5,1h 50m,메타코드 M,374,12,4.8,null,null,null,null,0,0,0,5
83,[생활코딩] DATABASE - MySQL #2,https://www.udemy.com/course/database-mysql-2/,107,1,1,null,Korean,1,0,0,0,3,13,1h 47m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,5
84,AI/機械学習って何？の基礎がわかる、初心者向け入門講座,https://www.udemy.com/course/about-machine-learning/,29,1,1,null,Japanese,1,1,0,0,1,9,37m total,アルテアエンジニアリング 株式会社,38,2,3,null,null,null,null,0,0,0,3
85,[생활코딩] DATABASE - 관계형 데이터 모델링 #1,https://www.udemy.com/course/database-1/,51,1,1,null,Korean,1,0,0,0,5,15,1h 9m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,5
86,[생활코딩] 자바스크립트 텐서플로우(TensorFlow) 기초,https://www.udemy.com/course/tensorflow-w/,54,1,1,null,Korean,1,0,0,0,9,21,1h 55m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,5
87,[생활코딩] 코딩 없이 머신러닝! Orange3,https://www.udemy.com/course/orange3-q/,48,1,1,null,Korean,1,0,0,0,6,12,1h 2m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,5
88,[생활코딩] WEB - Node.js - MySQL #1,https://www.udemy.com/course/web-nodejs-mysql-1/,104,0,1,null,Korean,1,0,0,0,4,19,1h 44m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
89,Pandas para iniciantes: Aprenda a manipular dados - Python,https://www.udemy.com/course/pandas-para-iniciantes-aprenda-a-manipular-dados-python/,258,3,1,null,Portuguese,1,1,0,0,2,8,1h 7m,Pablo Santos,258,2,4.5,null,null,null,null,0,0,0,4.5
90,[생활코딩] WEB - PHP & MySQL #1,https://www.udemy.com/course/web-php-mysql-1/,37,0,1,null,Korean,1,0,0,0,5,15,1h 52m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
91,[생활코딩] WEB - Node.js - MySQL #2,https://www.udemy.com/course/web-nodejs-mysql-2/,37,0,1,null,Korean,1,0,0,0,3,10,1h 0m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
92,[생활코딩] Orange3 지도학습,https://www.udemy.com/course/orange3-e/,29,0,1,null,Korean,1,0,0,0,4,10,1h 3m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
93,[생활코딩] DATABASE - SQLite,https://www.udemy.com/course/database-sqlite/,35,0,1,null,Korean,1,0,0,0,3,7,43m total,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
94,[생활코딩] WEB - PHP & MySQL #2,https://www.udemy.com/course/web-php-mysql-2/,31,0,1,null,Korean,1,0,0,0,4,14,1h 54m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
95,[생활코딩] DATABASE - SQL Join,https://www.udemy.com/course/database-sql-join/,45,0,1,null,Korean,1,0,0,0,4,8,50m total,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
96,[생활코딩] DATABASE - 관계형 데이터 모델링 #2,https://www.udemy.com/course/database-2/,39,0,1,null,Korean,1,0,0,0,4,16,1h 31m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,0
