,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
162,Modern Reinforcement Learning: Deep Q Learning in PyTorch,"4,380",848,1,10.202,English,1,1,399.9,1,9,41,5h 41m,Phil Tabor,"5,817",4,4.7,,,,,0,0,0,4.7
163,Fundamental Data Analysis and Visualization Tools in Python,"51,330",848,1,7.202,English,1,1,89.9,1,7,7,1h 5m,James Thomson,"57,958",2,3.7,,,,,1,0,0,3.7
164,Optimization with Python: Solve Operations Research Problems,"5,683",841,1,12.2022,English,1,1,349.9,1,15,102,12h 44m,Rafael Silva Pinto,"9,551",5,4.6,,,,,1,0,0,4.6
165,Logistic Regression in Python,"98,750",810,1,11.2022,English,1,1,69.9,1,13,83,7h 33m,Start-Tech Academy,"1,573,735",52,4.5,,,,,1,0,0,4.5
166,Data Science : Master Machine Learning Without Coding,"5,747",808,1,10.2018,English,1,1,349.9,1,14,63,2h 37m,Ram Prasad,"6,680",1,4.1,,,,,1,0,0,4.1
167,"The Data Visualization Course: Excel, Tableau, Python, R","8,033",804,1,5.2022,English,1,1,349.9,1,12,115,8h 52m,365 Careers,"2,202,831",91,4.6,,,,,1,0,0,4.5
168,Machine Learning Real World projects in Python,"74,262",800,1,12.2022,English,1,1,89.9,1,6,74,13h 7m,Shan Singh,"285,624",21,4.3,,,,,0,0,0,4.2
169,Data Visualization in Python Masterclass™: Beginners to Pro,"27,391",790,1,12.2022,English,1,1,69.9,1,16,225,21h 52m,Laxmi Kant,"47,651",7,4.4,,,,,1,0,0,4.3
170,Complete Data Analysis with Pandas : Hands-on Pandas Python,"13,021",776,2,5.2021,English,1,1,349.9,1,31,150,16h 51m,Ankit Mistry,"87,692",16,4.5,Data Science & Machine Learning Academy,"32,637",4,4.4,1,1,0,4.7
171,Complete Data Wrangling & Data Visualisation With Python,"14,625",770,1,11.2022,English,1,5,349.9,1,9,54,6h 20m,Minerva Singh,"90,904",49,4.4,,,,,0,0,0,4.3
172,"Recursion, Backtracking and Dynamic Programming in Python","9,538",770,1,11.2022,English,1,1,349.9,1,15,145,15h 43m,Holczer Balazs,"257,832",34,4.5,,,,,1,0,0,4.4
173,Practical AI with Python and Reinforcement Learning,"9,099",776,1,9.2021,English,1,1,349.9,1,14,156,26h 25m,Jose Portilla,"3,197,878",58,4.6,,,,,1,0,0,4.4
174,Text Mining and Natural Language Processing in R,"5,609",756,1,11.2022,English,1,1,349.9,1,10,84,8h 45m,Minerva Singh,"90,904",49,4.4,,,,,1,0,0,4.3
