,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
143,Derinlemesine Python 5 : AI Computer Vision,78,3,1,4.2021,Turkish,1,0,159.90,1,10,44,16h 18m,Önder Teker,"1,309",18,4.5,null,null,null,null,0,0,0,5.0
144,Python ile Kripto Paralarda Algoritmik Trade,5,3,1,10.2022,Turkish,1,0,639.90,0,12,42,10h 13m,Egemen YILDIRIM,51,3,4.8,null,null,null,null,0,0,0,4.2
145,UNet（PyTorch）图像语义分割实战：训练自己的数据集,21,3,1,1.2022,Simplified Chinese,2,0,105.90,1,5,10,2h 22m,Frank BAI,178,23,4.3,null,null,null,null,0,0,0,4.1
146,Les fondamentaux de NumPy,5,3,1,10.2022,French,1,0,89.90,1,3,13,1h 26m,Maxime Vandegar,"1,235",25,4.5,null,null,null,null,0,0,0,4.2
147,통계 분석 마스터 클래스 : 회귀분석과 실전 프로젝트,13,3,1,10.2022,Korean,1,0,299.90,0,8,32,10h 45m,마소캠퍼스 머니매그넷,"2,064",50,4.7,null,null,null,null,0,0,0,5.0
148,【文部科学大臣表彰の工学博士が指導】Pythonで体系的に学ぶデータサイエンスとAIの初歩 Vol.4 ブロックチェーン,142,3,1,7.2022,Japanese,1,1,349.90,1,22,99,9h 15m,平山 雄三,721,12,4.4,null,null,null,null,0,0,0,4.3
149,【文部科学大臣表彰の工学博士が指導】Pythonで体系的に学ぶデータサイエンスとAIの初歩 Vol.4 ブロックチェーン,142,3,1,7.2022,Japanese,1,1,349.90,1,22,99,9h 15m,平山 雄三,721,12,4.4,null,null,null,null,0,0,0,4.3
150,【普段のエクセル作業時間をショートカット】xlwingsでエクセルとPythonを合体,48,3,1,4.2022,Japanese,1,1,699.90,1,8,24,4h 10m,水口 真,975,9,4.5,null,null,null,null,0,0,0,4.0
151,Python per l'analisi dei dati e il Machine Learning,24,3,1,11.2022,Italian,1,1,105.90,0,7,46,6h 3m,Nicola Iantomasi,379,8,4.7,null,null,null,null,0,0,0,4.5
152,赵强老师：BigData 电商大数据项目实战(Hadoop+Spark)系列课程（5）,24,3,1,1.2019,Simplified Chinese,2,0,179.90,1,4,13,5h 27m,赵渝强 老师,351,17,4.6,null,null,null,null,0,0,0,4.8
