,name
164,https://www.udemy.com/course/unetpytorch/
165,https://www.udemy.com/course/introduction-numpy/
166,https://www.udemy.com/course/maso-ds-excel-onc49-2/
167,https://www.udemy.com/course/pythonai-vol4/
168,https://www.udemy.com/course/pythonai-vol4/
169,https://www.udemy.com/course/xlwingspython/
170,https://www.udemy.com/course/python-analisi-dati-e-machine-learning/
171,https://www.udemy.com/course/zhaoqiang-bigdata-project-05/
172,https://www.udemy.com/course/intelligence-artificielle/
173,https://www.udemy.com/course/dl_hwdong/
174,https://www.udemy.com/course/neuronale-netze-optimieren-und-evaluieren-mit-tensorflow-2/
175,https://www.udemy.com/course/ai-neuralnet-2/
176,https://www.udemy.com/course/aiotmqttspringboot2emqx/
177,https://www.udemy.com/course/tableau-desktop-basico/
178,https://www.udemy.com/course/nlp-con-python/
179,https://www.udemy.com/course/open-office-para-las-organizaciones/
180,https://www.udemy.com/course/spark-y-scala-en-databricks-big-data-e-ingenieria-de-datos/
181,https://www.udemy.com/course/3-kwuhav/
182,https://www.udemy.com/course/fundamentos-de-data-science-e-machine-learning/
183,https://www.udemy.com/course/data-analysis-python/
184,https://www.udemy.com/course/redes-neuronales-con-inteligencia-artificial/
185,https://www.udemy.com/course/text-mining-max/
186,https://www.udemy.com/course/opencv-son/
187,https://www.udemy.com/course/big-data-con-mongodb/
188,https://www.udemy.com/course/azure-data-factory-desde-cero/
189,https://www.udemy.com/course/iniciando-na-visualizacao-de-dados-com-python/
190,https://www.udemy.com/course/ittensive-python-reinforcement-learning/
191,https://www.udemy.com/course/knime-nodes-temel-kullanc-egitimi/
192,https://www.udemy.com/course/bigdata-con-apache-hadoop/
193,https://www.udemy.com/course/machine-learning-moderno/
194,https://www.udemy.com/course/crawling/
195,https://www.udemy.com/course/ittensive-machine-learning-introduction/
196,https://www.udemy.com/course/impara-r-e-la-visualizzazione-dei-dati-tramite-grafici/
197,https://www.udemy.com/course/machine-learning-python/
198,https://www.udemy.com/course/aprenda-python-do-zero-para-engenheiro-de-dados/
199,https://www.udemy.com/course/micro-curso-omlsql-regressao-linear/
200,https://www.udemy.com/course/algorithmes-de-recherche-de-chemin/
201,https://www.udemy.com/course/convolutional-neural-networks-hinter-den-kulissen/
202,https://www.udemy.com/course/etl-basico-com-r/
203,https://www.udemy.com/course/criando-paineis-de-bi-no-obiee-e-na-linguagem-r-com-shiny/
204,https://www.udemy.com/course/python-deep-learning-reconnaissance-faciale/
205,https://www.udemy.com/course/python-sifirdan-uzmanliga-yapayzeka-1/
206,https://www.udemy.com/course/datasciencefirst/
207,https://www.udemy.com/course/big-data-con-machine-learning/
208,https://www.udemy.com/course/mengenal-firebase-untuk-pemrograman-web-hosting-database/
209,https://www.udemy.com/course/estatistica-completa-no-r/
210,https://www.udemy.com/course/json-python-api-entegrasyon-egitimi/
211,https://www.udemy.com/course/python-data2/
212,https://www.udemy.com/course/transformer-pytorch/
213,https://www.udemy.com/course/belajar-excel-hingga-mahir/
214,https://www.udemy.com/course/mineria-de-datos-para-analistas/
215,https://www.udemy.com/course/data-science-mit-python-numpy-pandas-und-plotly/
216,https://www.udemy.com/course/dataframe/
217,https://www.udemy.com/course/data-science-pour-lanalyse-marketing-et-commerciale-python/
218,https://www.udemy.com/course/opencv-2/
219,https://www.udemy.com/course/python-datascience-colab/
220,https://www.udemy.com/course/kagglepython/
221,https://www.udemy.com/course/reseau-neurones/
222,https://www.udemy.com/course/webservice-api/
223,https://www.udemy.com/course/verimli-matlab-egitimi/
224,https://www.udemy.com/course/aprende-ciencia-de-los-datos/
225,https://www.udemy.com/course/yolov5-trash/
226,https://www.udemy.com/course/construa-uma-arquitetura-lakehouse-na-azure-do-zero/
227,https://www.udemy.com/course/automl-orange-completo-analisando-dados-e-modelos/
228,https://www.udemy.com/course/introggplot2/
229,https://www.udemy.com/course/unet-tensorflow2/
230,https://www.udemy.com/course/python-para-data-science-big-data-y-machine-learning-gabriel-alvarado/
231,https://www.udemy.com/course/web-scraping-scraper-nimporte-quel-site-web-avec-node-js/
232,https://www.udemy.com/course/web-scraping-scraper-nimporte-quel-site-web-avec-node-js/
233,https://www.udemy.com/course/redes-neurais-em-termos-simples/
234,https://www.udemy.com/course/nerf-neural-radiance-fields-fr/
235,https://www.udemy.com/course/deeplearning-mit-pytorch-und-fastai-tabellarische-daten/
236,https://www.udemy.com/course/fundamentos-de-data-scientist-con-r/
237,https://www.udemy.com/course/transformer-modelle-und-deep-learning/
238,https://www.udemy.com/course/dela_data_management/
239,https://www.udemy.com/course/bigdata-con-elasticsearch/
240,https://www.udemy.com/course/vit-transformer/
241,https://www.udemy.com/course/swint-objdetect/
242,https://www.udemy.com/course/automatyzacja-zadan-w-pythonie/
243,https://www.udemy.com/course/yolov5-distill/
244,https://www.udemy.com/course/internet-of-things-iot-n/
245,https://www.udemy.com/course/big-data-con-spark/
246,https://www.udemy.com/course/ittensive-machine-learning-clustering/
247,https://www.udemy.com/course/python-course-with-numpy-pandas-matplotlib-hindi/
248,https://www.udemy.com/course/machine-learning-dengan-python/
249,https://www.udemy.com/course/apprendre-lanalyse-et-la-visualisation-de-donnees-en-python/
250,https://www.udemy.com/course/machine-learning-auto-encodeurs/
251,https://www.udemy.com/course/apprentissage-des-statistiques-avec-jamovi/
252,https://www.udemy.com/course/data-mining-and-machine-learning-with-weka-gui-interface/
253,https://www.udemy.com/course/data-science-pour-le-e-business-et-le-e-marketing/
254,https://www.udemy.com/course/fundamentos-de-big-data/
255,https://www.udemy.com/course/machine-learning-cours-avance/
256,https://www.udemy.com/course/big-data-y-analitica-digital/
257,https://www.udemy.com/course/biblioteka-opencv/
258,https://www.udemy.com/course/fundamentos-y-soluciones-con-big-data/
259,https://www.udemy.com/course/computacao-quantica-com-python/
260,https://www.udemy.com/course/deep-learning-para-principiantes-a/
261,https://www.udemy.com/course/deep-dive-in-das-fastai-deep-learning-framework/
262,https://www.udemy.com/course/tensorflow-fuer-python-programmierer/
263,https://www.udemy.com/course/ittensive-python-basic/
264,https://www.udemy.com/course/ai-ml-net-c/
265,https://www.udemy.com/course/machine-learning-basico-aplicado-a-hidrocarburos/
266,https://www.udemy.com/course/bigdata_hihrd/
267,https://www.udemy.com/course/tensorflow-esencial-funcion-y-aplicacion-gabriel-alvarado/
268,https://www.udemy.com/course/decodificando-o-python-do-basico-ao-avancado/
269,https://www.udemy.com/course/analise-de-dados-na-pratica-com-r-studio-nivel-basico/
270,https://www.udemy.com/course/test_academiccontents3/
271,https://www.udemy.com/course/test_academiccontents1/
272,https://www.udemy.com/course/maso-ds-python-onc74/
273,https://www.udemy.com/course/python_hihrd/
274,https://www.udemy.com/course/introducao-ao-processamento-de-sinais-biomedicos-em-python/
275,https://www.udemy.com/course/deeplabv3pytorch/
276,https://www.udemy.com/course/hadoop-o/
277,https://www.udemy.com/course/iot-y-las-nuevas-tecnologias/
278,https://www.udemy.com/course/statistical-average/
279,https://www.udemy.com/course/fundamentos-de-druid/
280,https://www.udemy.com/course/iot-computer-vision/
281,https://www.udemy.com/course/excel-formulas-o/
282,https://www.udemy.com/course/introduction-pandas/
283,https://www.udemy.com/course/alteryx-trifacta-preparacao-de-dados-explorer-e-ajustes/
284,https://www.udemy.com/course/grundlagen-der-statistik-einfuhrung-in-die-statistik/
285,https://www.udemy.com/course/ai-transformation_hihrd/
286,https://www.udemy.com/course/python-docx-de-iniciante-a-vencedor/
287,https://www.udemy.com/course/maso-ds-python-onc75/
288,https://www.udemy.com/course/pythondatasci/
289,https://www.udemy.com/course/fortgeschrittener-r-analyst-next-level-r-programmierung/
290,https://www.udemy.com/course/ultimate-financial-education-financial-literacy/
291,https://www.udemy.com/course/test_academiccontents2/
292,https://www.udemy.com/course/ittensive-python-time-series/
293,https://www.udemy.com/course/tensorflow-deep-reinforcement-learning/
294,https://www.udemy.com/course/kedro-kb/
295,https://www.udemy.com/course/maso-ds-python-onc72/
296,https://www.udemy.com/course/databricks-delta-lake-apache-hop-carga-e-dados/
297,https://www.udemy.com/course/data-visualization-dengan-menggunakan-matplotlib-dan-plotly/
298,https://www.udemy.com/course/dluvhqmr/
299,https://www.udemy.com/course/data-analysis-suminw/
300,https://www.udemy.com/course/fundamentos-para-machine-learning/
301,https://www.udemy.com/course/kursus-statistika-spss/
302,https://www.udemy.com/course/visualizacao-de-dados-utilizando-o-r/
303,https://www.udemy.com/course/aibasics/
304,https://www.udemy.com/course/belajar-data-science/
305,https://www.udemy.com/course/deep-learning_hihrd/
306,https://www.udemy.com/course/deep-learning-in-arabic/
307,https://www.udemy.com/course/inteligencia-artificial-para-salud/
308,https://www.udemy.com/course/fundamentos-de-ciencias-de-la-informacion/
309,https://www.udemy.com/course/matlab-muhendislige-giris-egitim-seti/
310,https://www.udemy.com/course/codingxnsnlp/
311,https://www.udemy.com/course/swint-seg/
312,https://www.udemy.com/course/automacao-de-documentos-com-docassemble/
313,https://www.udemy.com/course/swint-seg/
314,https://www.udemy.com/course/tensorflow_hihrd/
315,https://www.udemy.com/course/drv_genalg/
316,https://www.udemy.com/course/machine-learning-et-classification-binaire-avec-ml-net-c/
317,https://www.udemy.com/course/mlops-orange-completo-modelos-machine-learning/
318,https://www.udemy.com/course/elaborazione-e-visualizzazione-dei-dati-con-python/
319,https://www.udemy.com/course/bioinformatics_drv/
